tenure_months,monthly_charges,support_calls,plan,region,churn
60.0,80.41,1.0,basic,south,0
54.0,74.85,1.0,basic,north,0
70.0,44.28,2.0,basic,north,0
32.0,52.18,0.0,basic,south,0
51.0,54.34,1.0,plus,coast,0
5.0,74.17,2.0,premium,south,1
70.0,,0.0,basic,coast,0
53.0,78.69,3.0,basic,south,1
46.0,80.82,2.0,plus,coast,0
65.0,80.71,0.0,plus,south,0
56.0,110.83,0.0,plus,north,1
35.0,44.19,0.0,basic,south,0
17.0,66.39,0.0,basic,coast,0
58.0,76.17,3.0,basic,north,1
19.0,100.28,0.0,premium,north,0
26.0,99.93,1.0,premium,south,0
60.0,62.69,2.0,premium,south,0
45.0,46.27,1.0,basic,north,0
44.0,67.04,1.0,plus,coast,0
5.0,82.56,0.0,basic,north,1
11.0,62.0,2.0,plus,south,0
19.0,78.44,2.0,basic,south,1
26.0,56.29,1.0,premium,north,0
30.0,57.25,2.0,plus,north,0
15.0,80.93,2.0,plus,south,0
51.0,72.4,0.0,premium,north,0
3.0,100.09,0.0,basic,south,1
14.0,90.79,3.0,basic,north,1
24.0,25.26,1.0,plus,coast,0
29.0,39.07,0.0,basic,north,0
8.0,87.35,3.0,basic,coast,1
47.0,96.9,0.0,plus,coast,0
24.0,57.81,2.0,basic,coast,1
34.0,62.54,1.0,basic,coast,0
57.0,44.67,3.0,basic,north,0
69.0,77.58,2.0,plus,north,0
15.0,77.66,2.0,plus,coast,1
17.0,50.09,1.0,plus,north,1
54.0,65.5,0.0,basic,north,0
11.0,,0.0,plus,coast,0
16.0,33.18,0.0,basic,north,1
28.0,86.84,1.0,basic,north,1
36.0,43.3,0.0,plus,north,0
27.0,55.38,1.0,plus,coast,0
56.0,46.8,1.0,plus,south,0
32.0,42.06,1.0,basic,south,0
33.0,87.74,1.0,plus,south,0
44.0,58.18,2.0,basic,north,1
71.0,58.03,2.0,plus,north,0
13.0,73.39,0.0,premium,coast,1
12.0,93.76,1.0,basic,coast,1
61.0,39.4,1.0,premium,south,0
36.0,49.35,2.0,plus,north,0
3.0,66.56,1.0,basic,coast,1
60.0,76.36,2.0,plus,south,0
4.0,51.08,4.0,plus,north,1
51.0,93.27,0.0,plus,south,0
26.0,62.29,0.0,plus,north,0
35.0,45.42,1.0,plus,north,0
19.0,101.73,2.0,plus,north,1
43.0,72.24,3.0,basic,south,0
10.0,65.59,0.0,basic,north,0
39.0,70.11,1.0,basic,north,0
1.0,68.55,0.0,basic,north,1
3.0,55.04,0.0,basic,south,0
26.0,70.93,2.0,plus,north,0
69.0,,2.0,basic,coast,0
2.0,,0.0,basic,coast,1
56.0,54.93,2.0,basic,coast,0
6.0,52.13,0.0,basic,north,1
55.0,52.49,0.0,plus,coast,0
69.0,53.61,3.0,plus,coast,0
6.0,49.14,1.0,plus,coast,1
36.0,82.94,1.0,basic,coast,0
65.0,64.03,1.0,plus,coast,0
18.0,86.47,2.0,plus,south,1
39.0,93.9,1.0,basic,south,1
65.0,53.8,0.0,plus,south,0
49.0,86.8,0.0,basic,coast,0
62.0,49.63,1.0,plus,south,0
5.0,67.25,0.0,basic,north,1
69.0,57.58,1.0,basic,coast,0
49.0,64.4,1.0,plus,south,0
28.0,60.88,2.0,basic,south,0
60.0,67.6,0.0,plus,south,0
55.0,70.26,1.0,basic,north,0
10.0,60.63,0.0,plus,south,0
51.0,70.6,2.0,basic,south,1
42.0,66.43,0.0,plus,coast,1
52.0,88.52,5.0,plus,north,1
54.0,56.69,0.0,plus,north,0
3.0,50.63,0.0,plus,south,1
45.0,82.8,2.0,plus,south,0
50.0,90.87,1.0,premium,coast,0
52.0,81.65,1.0,plus,north,0
53.0,60.17,2.0,basic,coast,1
9.0,78.27,1.0,basic,south,0
5.0,55.75,4.0,premium,south,1
6.0,66.65,1.0,basic,north,1
24.0,105.29,2.0,plus,north,1
8.0,97.83,2.0,basic,coast,1
48.0,100.46,2.0,basic,south,1
31.0,68.05,1.0,basic,north,0
46.0,83.01,0.0,basic,north,1
25.0,55.17,1.0,plus,north,1
33.0,49.74,2.0,plus,north,1
56.0,100.66,0.0,basic,south,0
17.0,64.92,2.0,plus,south,0
47.0,45.97,2.0,plus,south,0
12.0,60.86,1.0,premium,north,1
42.0,52.0,2.0,premium,north,1
48.0,60.0,0.0,basic,coast,0
41.0,68.89,0.0,basic,south,0
45.0,42.76,1.0,basic,south,1
40.0,59.03,1.0,plus,south,0
19.0,50.53,1.0,basic,coast,0
54.0,76.36,2.0,basic,south,0
49.0,75.82,1.0,plus,north,0
13.0,121.88,0.0,plus,north,1
66.0,102.71,2.0,basic,north,1
71.0,34.16,2.0,plus,north,0
37.0,58.34,0.0,plus,coast,0
26.0,49.53,0.0,basic,coast,0
66.0,86.33,0.0,basic,coast,0
17.0,72.51,3.0,premium,north,1
11.0,56.46,0.0,basic,south,0
36.0,81.46,2.0,plus,coast,0
42.0,103.67,2.0,plus,north,0
18.0,75.46,0.0,plus,south,0
15.0,33.85,1.0,basic,north,1
10.0,71.39,1.0,plus,south,1
32.0,88.14,1.0,plus,north,1
65.0,79.75,2.0,basic,north,0
2.0,38.95,2.0,plus,north,0
54.0,84.69,0.0,plus,south,0
41.0,69.85,2.0,basic,north,1
30.0,110.89,1.0,basic,north,1
8.0,,1.0,premium,south,1
19.0,96.35,0.0,plus,coast,1
56.0,72.15,0.0,premium,north,0
64.0,55.3,0.0,premium,coast,0
64.0,41.99,1.0,plus,coast,0
46.0,46.33,0.0,basic,south,0
27.0,70.59,1.0,plus,south,0
10.0,44.27,3.0,basic,south,1
27.0,73.71,1.0,basic,coast,0
50.0,,1.0,basic,coast,0
48.0,85.64,1.0,plus,coast,0
36.0,56.38,0.0,basic,south,0
13.0,108.29,1.0,premium,south,1
51.0,69.73,1.0,premium,coast,0
54.0,92.28,2.0,plus,north,1
23.0,90.85,1.0,basic,south,0
26.0,107.09,2.0,basic,north,1
15.0,56.78,2.0,plus,north,0
16.0,102.74,1.0,basic,coast,1
64.0,63.32,0.0,basic,south,0
37.0,49.16,1.0,basic,north,0
8.0,99.62,2.0,basic,coast,1
1.0,61.46,1.0,plus,north,0
22.0,,1.0,plus,coast,0
40.0,76.46,0.0,basic,north,0
24.0,,1.0,premium,north,0
67.0,112.08,3.0,premium,coast,1
37.0,60.76,2.0,premium,coast,1
10.0,64.09,3.0,plus,coast,1
43.0,55.7,2.0,basic,south,1
64.0,67.73,0.0,basic,south,0
44.0,64.73,0.0,plus,south,0
67.0,92.0,0.0,premium,north,0
48.0,48.58,0.0,basic,north,0
42.0,39.16,1.0,basic,coast,0
7.0,92.94,1.0,plus,south,1
18.0,,2.0,basic,north,1
47.0,58.14,0.0,basic,south,0
33.0,46.63,1.0,plus,south,0
21.0,66.03,1.0,plus,south,1
49.0,80.33,2.0,plus,north,1
56.0,42.2,0.0,basic,coast,0
53.0,73.08,2.0,plus,north,0
41.0,105.77,2.0,basic,north,0
59.0,65.08,4.0,basic,north,1
18.0,62.82,0.0,basic,south,1
7.0,102.72,1.0,plus,north,0
20.0,93.96,1.0,premium,south,1
6.0,87.69,1.0,plus,coast,1
46.0,82.65,1.0,plus,coast,0
20.0,62.74,3.0,basic,south,0
35.0,53.66,1.0,premium,north,0
1.0,43.22,2.0,plus,south,1
42.0,78.2,2.0,basic,coast,0
7.0,73.31,1.0,basic,south,0
12.0,71.69,2.0,basic,south,0
46.0,71.21,3.0,basic,north,1
33.0,47.09,1.0,premium,south,0
27.0,62.98,0.0,basic,coast,1
70.0,,1.0,basic,north,0
9.0,83.04,0.0,basic,south,0
10.0,31.65,0.0,premium,south,0
38.0,95.95,0.0,plus,coast,1
7.0,83.32,0.0,basic,north,1
26.0,67.72,0.0,basic,coast,0
5.0,68.52,1.0,basic,south,1
12.0,97.29,0.0,premium,north,0
53.0,,1.0,basic,coast,0
45.0,90.36,2.0,plus,north,1
24.0,84.91,0.0,plus,south,0
32.0,80.79,1.0,basic,north,1
13.0,72.18,0.0,plus,south,0
7.0,114.94,1.0,basic,south,0
38.0,92.31,1.0,basic,south,0
50.0,,3.0,plus,north,0
41.0,,0.0,basic,north,0
15.0,90.04,0.0,plus,south,1
35.0,91.16,0.0,plus,south,0
3.0,48.91,2.0,basic,south,1
13.0,85.97,2.0,basic,coast,1
2.0,45.43,1.0,basic,coast,1
27.0,90.68,2.0,basic,coast,0
38.0,84.99,2.0,basic,south,0
35.0,123.65,2.0,basic,coast,0
37.0,85.42,1.0,basic,south,1
27.0,76.0,0.0,basic,south,1
42.0,77.18,1.0,premium,coast,0
48.0,,1.0,premium,south,0
39.0,37.44,1.0,plus,south,0
41.0,71.96,1.0,plus,north,0
61.0,46.89,1.0,basic,coast,0
53.0,73.24,1.0,basic,coast,1
45.0,89.38,0.0,plus,north,0
34.0,54.21,3.0,plus,south,0
69.0,66.14,2.0,basic,coast,0
4.0,85.75,0.0,basic,south,0
55.0,12.83,2.0,premium,south,0
52.0,107.97,2.0,basic,north,1
2.0,78.61,2.0,basic,north,1
32.0,74.43,0.0,basic,south,0
33.0,63.55,2.0,basic,south,0
58.0,49.95,2.0,basic,coast,1
1.0,71.53,1.0,basic,coast,1
15.0,70.93,1.0,premium,north,1
17.0,85.25,2.0,basic,north,1
63.0,48.72,0.0,plus,north,0
61.0,83.42,0.0,premium,coast,1
23.0,38.66,0.0,basic,coast,0
21.0,114.53,1.0,premium,south,1
15.0,61.78,1.0,basic,north,1
64.0,47.23,3.0,basic,coast,0
19.0,90.57,1.0,premium,north,0
51.0,74.23,0.0,basic,coast,0
2.0,,0.0,premium,north,0
6.0,53.7,1.0,plus,coast,1
7.0,59.5,3.0,basic,coast,1
12.0,70.16,2.0,basic,north,1
8.0,55.93,2.0,premium,south,1
65.0,84.13,1.0,plus,south,0
68.0,60.59,3.0,basic,north,0
33.0,46.32,1.0,basic,north,0
1.0,46.94,1.0,basic,north,1
65.0,89.65,1.0,basic,coast,0
6.0,83.34,1.0,basic,coast,1
26.0,63.51,2.0,basic,south,1
62.0,88.67,0.0,basic,north,0
33.0,85.39,2.0,basic,south,0
40.0,66.66,2.0,plus,coast,1
52.0,,2.0,basic,north,0
66.0,87.04,3.0,plus,coast,0
59.0,71.07,0.0,basic,north,0
35.0,74.76,3.0,plus,south,0
4.0,84.34,1.0,premium,south,0
10.0,50.57,1.0,plus,south,1
61.0,73.14,0.0,plus,coast,0
37.0,67.74,2.0,plus,south,1
21.0,78.88,2.0,premium,north,0
51.0,73.28,1.0,basic,south,0
60.0,48.05,1.0,basic,south,0
42.0,68.63,2.0,plus,south,0
31.0,112.03,0.0,basic,south,1
29.0,49.8,4.0,basic,south,1
18.0,36.05,0.0,plus,north,0
28.0,54.75,1.0,plus,coast,0
28.0,58.93,1.0,basic,north,1
9.0,113.09,2.0,plus,north,1
45.0,75.18,2.0,basic,north,1
56.0,64.95,2.0,plus,south,0
11.0,61.84,1.0,basic,north,1
48.0,86.0,1.0,basic,coast,1
10.0,86.55,2.0,basic,coast,1
46.0,88.03,0.0,basic,coast,0
65.0,,0.0,plus,north,0
47.0,83.43,1.0,premium,north,0
12.0,59.04,1.0,basic,south,1
52.0,30.61,1.0,basic,coast,0
41.0,58.8,1.0,plus,north,0
17.0,62.55,0.0,plus,south,0
9.0,65.26,1.0,basic,south,1
53.0,66.05,2.0,basic,north,0
37.0,84.09,4.0,basic,coast,1
67.0,78.59,4.0,premium,coast,1
11.0,66.24,0.0,premium,south,0
6.0,91.32,1.0,basic,south,1
62.0,65.95,0.0,basic,south,0
60.0,74.8,0.0,plus,south,0
64.0,79.34,0.0,premium,north,0
15.0,117.24,1.0,plus,coast,1
57.0,69.81,1.0,plus,coast,0
27.0,102.5,3.0,basic,south,1
58.0,71.74,4.0,plus,coast,0
59.0,95.53,3.0,plus,coast,0
53.0,66.75,1.0,basic,coast,0
15.0,57.15,0.0,plus,north,0
69.0,,2.0,basic,south,0
9.0,54.42,1.0,plus,north,0
69.0,79.54,1.0,plus,north,0
21.0,59.03,3.0,basic,south,0
17.0,118.64,2.0,basic,south,1
29.0,63.1,1.0,basic,south,1
5.0,,2.0,basic,south,1
51.0,70.52,1.0,plus,north,0
8.0,91.41,3.0,basic,coast,1
44.0,79.47,2.0,basic,north,0
2.0,58.95,3.0,basic,north,1
21.0,68.33,1.0,basic,north,0
41.0,81.31,1.0,basic,south,0
39.0,81.12,1.0,plus,south,0
71.0,50.71,2.0,premium,south,0
3.0,80.18,2.0,basic,north,1
19.0,104.96,1.0,premium,north,0
38.0,52.91,2.0,basic,north,0
51.0,91.67,1.0,basic,north,0
55.0,96.96,1.0,basic,coast,0
18.0,88.51,2.0,plus,coast,1
50.0,81.91,0.0,premium,north,0
7.0,66.65,0.0,plus,coast,0
46.0,56.59,0.0,plus,coast,0
52.0,41.76,0.0,plus,south,0
30.0,66.82,3.0,plus,coast,1
34.0,71.73,1.0,basic,north,1
1.0,59.36,0.0,basic,north,0
70.0,65.2,2.0,basic,south,0
50.0,66.04,5.0,plus,south,1
63.0,47.87,0.0,basic,south,0
6.0,45.19,3.0,premium,south,1
20.0,87.55,3.0,plus,south,1
47.0,51.76,2.0,plus,north,0
52.0,103.04,3.0,plus,north,1
69.0,99.53,1.0,basic,south,0
43.0,65.61,2.0,plus,south,0
30.0,59.73,1.0,basic,coast,0
40.0,36.5,0.0,basic,coast,0
31.0,64.03,0.0,basic,south,0
52.0,66.3,0.0,basic,coast,0
32.0,64.73,2.0,plus,coast,0
58.0,100.15,2.0,basic,north,1
50.0,56.42,1.0,plus,north,0
62.0,104.32,1.0,plus,coast,0
28.0,76.71,0.0,basic,coast,1
69.0,50.5,0.0,premium,coast,0
45.0,56.81,3.0,plus,north,0
33.0,57.28,0.0,basic,north,0
54.0,102.57,1.0,basic,coast,1
46.0,48.95,0.0,plus,coast,0
27.0,96.1,1.0,plus,south,0
36.0,,2.0,basic,north,0
32.0,58.0,4.0,plus,north,1
20.0,76.34,0.0,plus,coast,1
53.0,79.57,1.0,basic,coast,0
45.0,94.54,1.0,plus,coast,0
16.0,91.24,1.0,basic,south,1
37.0,60.9,0.0,basic,south,0
44.0,56.79,3.0,basic,south,1
26.0,81.93,1.0,premium,coast,0
58.0,44.02,2.0,plus,coast,0
62.0,79.1,2.0,plus,south,0
51.0,98.76,0.0,basic,north,0
18.0,93.96,0.0,basic,coast,1
38.0,43.89,1.0,basic,coast,0
8.0,91.39,2.0,basic,north,1
51.0,56.66,0.0,basic,north,0
70.0,78.59,4.0,basic,coast,0
50.0,87.17,0.0,basic,south,0
35.0,30.15,0.0,basic,north,0
64.0,55.97,1.0,basic,north,0
65.0,60.03,1.0,premium,coast,0
45.0,64.89,0.0,plus,coast,0
19.0,63.51,2.0,basic,coast,1
34.0,84.65,1.0,premium,south,0
23.0,63.8,2.0,basic,south,0
43.0,70.36,3.0,plus,south,1
67.0,,1.0,premium,south,0
22.0,20.42,2.0,plus,north,0
41.0,70.49,1.0,basic,south,0
37.0,44.9,2.0,basic,south,0
66.0,86.89,2.0,premium,coast,1
25.0,47.41,0.0,plus,coast,0
55.0,61.95,2.0,plus,south,1
23.0,67.22,1.0,basic,north,1
31.0,66.13,0.0,plus,north,1
4.0,40.84,1.0,basic,south,0
34.0,74.66,1.0,basic,south,0
51.0,59.38,0.0,basic,north,0
1.0,98.89,0.0,basic,coast,1
67.0,68.14,1.0,plus,coast,0
35.0,62.88,1.0,basic,coast,0
60.0,62.2,2.0,plus,north,0
66.0,40.75,0.0,plus,south,0
10.0,95.4,1.0,basic,north,1
35.0,78.25,1.0,plus,south,0
2.0,61.14,3.0,plus,north,1
33.0,83.83,2.0,basic,north,0
23.0,43.03,1.0,basic,north,0
29.0,68.83,1.0,plus,south,0
55.0,114.79,0.0,basic,south,0
35.0,84.56,0.0,premium,north,0
43.0,43.63,2.0,basic,coast,0
53.0,,2.0,plus,north,0
62.0,63.53,0.0,plus,north,0
26.0,74.52,2.0,premium,north,0
16.0,39.7,1.0,basic,north,0
22.0,87.81,0.0,basic,coast,1
31.0,77.75,1.0,plus,north,0
3.0,38.56,0.0,basic,south,0
20.0,88.37,0.0,basic,south,1
18.0,50.74,0.0,plus,coast,0
17.0,72.59,3.0,basic,coast,0
13.0,39.94,1.0,premium,coast,1
60.0,77.82,1.0,plus,north,0
22.0,43.23,0.0,premium,north,0
17.0,91.59,1.0,premium,north,1
15.0,80.0,0.0,basic,south,1
34.0,91.27,1.0,premium,coast,1
44.0,51.61,3.0,plus,coast,1
59.0,26.73,3.0,basic,north,0
36.0,37.13,1.0,basic,south,0
65.0,68.51,2.0,plus,north,0
10.0,59.37,1.0,plus,south,1
40.0,83.5,1.0,basic,coast,0
7.0,82.26,0.0,plus,north,0
20.0,64.63,2.0,premium,coast,1
24.0,78.79,1.0,plus,north,0
53.0,94.4,0.0,plus,north,0
39.0,79.1,2.0,basic,coast,0
25.0,44.78,0.0,basic,north,0
46.0,36.63,2.0,basic,coast,0
68.0,118.41,0.0,basic,south,0
35.0,60.26,3.0,premium,south,1
43.0,,0.0,plus,north,0
9.0,72.01,0.0,premium,coast,0
59.0,60.78,0.0,plus,north,0
69.0,86.25,5.0,basic,south,1
14.0,80.11,0.0,basic,south,0
43.0,80.37,0.0,basic,south,0
10.0,98.79,2.0,basic,north,1
32.0,61.51,2.0,plus,coast,1
24.0,81.09,0.0,basic,north,1
21.0,49.29,2.0,plus,north,0
25.0,74.58,1.0,plus,coast,0
65.0,86.85,0.0,premium,north,0
20.0,,0.0,basic,north,0
24.0,42.25,0.0,basic,south,0
10.0,75.25,4.0,basic,north,1
56.0,67.96,4.0,basic,coast,1
28.0,69.38,2.0,basic,south,1
31.0,66.53,4.0,plus,south,1
44.0,66.48,1.0,plus,south,0
5.0,76.59,1.0,plus,coast,1
65.0,107.61,0.0,plus,north,0
34.0,62.69,1.0,plus,north,0
44.0,88.39,1.0,basic,coast,0
64.0,20.39,0.0,basic,south,0
19.0,68.47,3.0,premium,south,1
58.0,49.79,0.0,plus,coast,0
5.0,72.77,1.0,basic,south,1
15.0,97.54,0.0,plus,coast,1
4.0,38.64,1.0,basic,north,0
21.0,68.34,1.0,basic,south,1
19.0,63.89,1.0,basic,coast,0
68.0,68.3,1.0,basic,south,0
3.0,90.6,1.0,premium,north,0
4.0,87.78,0.0,plus,coast,1
71.0,97.5,0.0,premium,north,0
66.0,94.6,3.0,plus,coast,1
6.0,70.85,1.0,basic,south,1
17.0,47.07,0.0,plus,coast,0
36.0,64.18,2.0,basic,north,0
29.0,71.65,1.0,plus,north,0
47.0,54.51,2.0,basic,coast,0
19.0,66.53,0.0,basic,north,1
36.0,59.07,2.0,basic,north,1
29.0,95.49,1.0,basic,south,1
47.0,86.44,1.0,premium,south,0
6.0,67.37,0.0,basic,coast,1
48.0,34.88,1.0,plus,north,0
57.0,74.85,1.0,plus,north,0
5.0,58.07,1.0,plus,coast,1
31.0,67.52,0.0,basic,coast,0
60.0,69.57,1.0,plus,north,0
27.0,,1.0,plus,coast,0
44.0,63.3,0.0,plus,south,0
5.0,56.75,4.0,plus,north,1
65.0,61.75,3.0,premium,north,0
9.0,92.56,0.0,plus,south,1
55.0,102.31,3.0,premium,north,1
67.0,67.19,1.0,premium,coast,0
62.0,78.31,2.0,plus,coast,0
65.0,103.77,1.0,plus,north,0
37.0,33.02,1.0,premium,north,0
23.0,69.61,0.0,plus,south,0
60.0,99.36,0.0,basic,north,0
19.0,,3.0,basic,south,1
15.0,74.85,0.0,plus,coast,0
27.0,76.21,2.0,basic,north,1
71.0,29.13,1.0,plus,south,0
11.0,58.16,1.0,plus,coast,0
70.0,25.51,1.0,basic,south,0
31.0,105.64,0.0,plus,north,0
11.0,61.12,0.0,basic,south,1
65.0,99.21,1.0,basic,south,0
15.0,79.95,1.0,premium,south,1
17.0,83.02,1.0,premium,coast,1
21.0,84.03,1.0,basic,south,0
1.0,61.01,4.0,basic,north,1
63.0,84.91,1.0,plus,north,0
36.0,70.54,1.0,basic,coast,0
6.0,66.7,0.0,basic,coast,1
12.0,62.99,0.0,plus,south,0
51.0,87.63,0.0,basic,south,0
5.0,37.35,2.0,basic,south,1
33.0,91.14,1.0,basic,coast,1
48.0,49.48,1.0,plus,north,0
36.0,50.41,0.0,basic,coast,1
50.0,56.98,1.0,premium,north,0
29.0,51.8,2.0,basic,coast,1
4.0,101.1,4.0,basic,north,1
48.0,74.87,1.0,plus,north,0
65.0,,1.0,plus,north,0
28.0,42.68,1.0,premium,south,0
66.0,83.93,2.0,plus,north,0
14.0,78.58,0.0,basic,south,1
18.0,,3.0,basic,north,1
32.0,46.06,1.0,plus,coast,0
29.0,64.94,2.0,basic,coast,0
68.0,,1.0,basic,south,0
3.0,41.07,2.0,plus,north,1
3.0,37.01,1.0,basic,south,1
55.0,60.48,3.0,plus,coast,1
30.0,60.41,2.0,plus,coast,1
31.0,86.56,0.0,plus,coast,1
12.0,67.1,3.0,basic,coast,1
60.0,86.44,2.0,basic,north,1
7.0,78.95,1.0,plus,coast,1
63.0,78.63,0.0,basic,south,0
32.0,58.75,1.0,basic,south,0
24.0,48.7,1.0,plus,north,0
25.0,72.17,2.0,basic,north,1
28.0,79.74,0.0,basic,north,1
10.0,93.37,1.0,plus,coast,0
22.0,92.22,0.0,basic,south,1
7.0,71.93,1.0,basic,south,1
53.0,75.43,0.0,plus,south,0
34.0,96.67,1.0,premium,north,0
19.0,75.55,2.0,basic,north,1
35.0,65.1,2.0,basic,north,0
48.0,67.75,2.0,basic,coast,0
70.0,57.99,2.0,basic,coast,0
62.0,,1.0,plus,north,0
7.0,91.75,1.0,premium,north,1
54.0,67.81,1.0,premium,north,0
33.0,83.54,1.0,basic,coast,1
19.0,68.7,1.0,premium,north,0
20.0,88.28,0.0,plus,north,1
47.0,71.19,1.0,plus,north,0
55.0,32.0,0.0,plus,north,0
49.0,107.31,0.0,basic,north,0
38.0,87.74,5.0,plus,coast,1
2.0,,1.0,basic,north,1
41.0,26.94,0.0,plus,north,0
71.0,52.51,1.0,basic,coast,0
11.0,,1.0,premium,south,1
14.0,58.53,1.0,basic,south,0
53.0,81.62,1.0,premium,south,0
49.0,78.26,1.0,plus,south,0
54.0,54.44,3.0,plus,coast,0
40.0,51.51,1.0,plus,north,0
59.0,92.32,2.0,plus,north,0
48.0,91.17,0.0,plus,north,0
1.0,59.1,0.0,plus,coast,0
70.0,82.0,2.0,plus,south,0
54.0,57.85,0.0,basic,south,0
70.0,73.81,1.0,basic,north,0
38.0,71.95,2.0,plus,south,0
39.0,92.87,2.0,basic,coast,0
41.0,57.5,2.0,basic,south,1
59.0,53.72,0.0,premium,coast,0
60.0,66.69,1.0,premium,south,0
30.0,80.26,2.0,plus,south,1
50.0,,4.0,basic,south,1
53.0,59.52,2.0,basic,south,0
34.0,73.19,1.0,basic,north,1
26.0,58.06,3.0,plus,north,1
20.0,24.75,1.0,basic,north,1
52.0,79.6,2.0,plus,north,0
20.0,79.94,1.0,plus,coast,1
47.0,56.96,1.0,plus,coast,1
41.0,50.9,0.0,basic,south,0
15.0,62.93,1.0,plus,north,1
42.0,48.61,0.0,premium,south,1
31.0,51.67,0.0,basic,south,0
11.0,87.57,1.0,plus,coast,1
62.0,,2.0,premium,coast,0
47.0,,1.0,plus,north,0
35.0,77.75,2.0,basic,south,1
18.0,61.93,0.0,basic,south,1
33.0,64.47,1.0,plus,north,0
25.0,77.28,0.0,basic,coast,1
10.0,83.35,0.0,basic,north,0
69.0,79.94,1.0,plus,south,0
68.0,88.64,0.0,basic,coast,0
5.0,63.99,3.0,basic,north,1
11.0,80.74,0.0,basic,south,0
34.0,56.71,0.0,plus,coast,0
54.0,56.39,1.0,basic,south,1
63.0,44.37,1.0,plus,coast,0
60.0,64.03,1.0,basic,north,0
21.0,69.86,2.0,basic,coast,1
64.0,76.58,2.0,plus,south,0
24.0,43.41,0.0,plus,north,0
60.0,81.52,1.0,plus,coast,0
56.0,54.2,1.0,basic,coast,0
15.0,104.5,1.0,plus,north,0
23.0,37.46,1.0,basic,north,0
43.0,77.96,3.0,basic,north,1
25.0,75.32,0.0,plus,south,0
10.0,49.43,1.0,basic,south,0
44.0,57.84,0.0,plus,coast,0
39.0,,1.0,basic,north,1
7.0,75.75,2.0,basic,north,1
27.0,48.11,1.0,basic,north,0
13.0,67.84,1.0,basic,coast,0
1.0,13.29,4.0,plus,south,1
26.0,85.79,0.0,basic,coast,1
37.0,73.6,5.0,premium,north,1
20.0,57.83,1.0,plus,coast,0
3.0,74.94,2.0,basic,north,1
21.0,72.56,3.0,premium,south,1
59.0,87.0,0.0,plus,coast,0
37.0,68.24,0.0,plus,coast,0
60.0,72.78,1.0,plus,south,0
12.0,67.87,2.0,plus,north,1
6.0,63.75,1.0,premium,coast,1
14.0,57.08,0.0,plus,south,0
4.0,46.41,5.0,premium,north,1
58.0,69.69,2.0,plus,south,0
71.0,110.15,1.0,basic,north,0
60.0,55.63,0.0,basic,south,0
3.0,62.65,3.0,basic,coast,1
71.0,,3.0,plus,coast,0
41.0,87.58,0.0,basic,coast,0
59.0,,0.0,basic,coast,0
40.0,81.49,1.0,basic,north,1
71.0,25.83,2.0,basic,north,0
17.0,57.52,5.0,basic,coast,1
5.0,51.06,2.0,basic,coast,1
11.0,50.78,2.0,premium,north,0
65.0,,2.0,basic,south,0
23.0,75.81,2.0,basic,south,1
37.0,,1.0,basic,south,0
37.0,83.22,1.0,plus,south,0
70.0,91.29,1.0,basic,south,0
24.0,74.73,2.0,premium,south,1
59.0,86.87,2.0,basic,north,1
66.0,107.09,0.0,plus,south,0
29.0,39.08,1.0,plus,north,1
3.0,48.07,0.0,plus,north,0
4.0,37.68,0.0,plus,coast,0
53.0,36.89,3.0,basic,south,0
35.0,82.46,1.0,plus,south,0
4.0,,3.0,basic,north,1
65.0,88.23,2.0,plus,coast,0
67.0,,1.0,basic,south,0
51.0,96.9,1.0,premium,south,0
60.0,67.36,0.0,basic,coast,0
57.0,35.8,2.0,basic,north,0
47.0,89.81,1.0,basic,south,0
59.0,65.52,1.0,basic,north,0
60.0,60.82,0.0,plus,south,0
60.0,76.78,1.0,basic,south,0
32.0,,2.0,plus,north,1
39.0,51.59,3.0,plus,coast,0
33.0,77.23,0.0,premium,north,0
48.0,55.69,2.0,basic,coast,0
12.0,58.67,0.0,plus,north,0
47.0,30.21,0.0,premium,south,0
30.0,74.67,1.0,premium,coast,1
3.0,52.73,3.0,premium,north,1
52.0,83.04,2.0,premium,coast,1
40.0,83.65,1.0,plus,coast,0
53.0,85.1,0.0,plus,north,0
18.0,57.45,2.0,premium,coast,0
14.0,68.39,2.0,plus,coast,1
31.0,52.66,0.0,basic,north,1
42.0,66.38,0.0,basic,south,0
54.0,74.39,4.0,basic,south,1
2.0,82.67,0.0,premium,coast,1
5.0,56.79,2.0,premium,south,1
50.0,52.36,2.0,plus,south,0
47.0,102.98,3.0,plus,coast,1
68.0,47.95,0.0,premium,south,0
32.0,87.29,0.0,plus,coast,1
67.0,82.93,1.0,basic,coast,0
67.0,39.22,3.0,plus,coast,0
23.0,71.87,1.0,plus,coast,0
69.0,49.18,3.0,plus,north,0
35.0,26.66,1.0,basic,coast,0
45.0,69.89,2.0,plus,coast,0
22.0,62.42,1.0,basic,coast,1
24.0,68.36,1.0,basic,coast,0
2.0,49.54,2.0,basic,north,0
46.0,37.58,1.0,basic,north,1
15.0,75.28,2.0,plus,south,0
15.0,60.96,2.0,premium,coast,0
21.0,70.98,2.0,plus,south,1
58.0,98.57,0.0,premium,north,1
54.0,100.36,0.0,basic,south,0
66.0,92.24,1.0,basic,north,0
3.0,80.24,3.0,premium,north,1
42.0,61.11,1.0,plus,coast,0
32.0,71.38,2.0,premium,north,0
14.0,87.23,1.0,plus,coast,1
67.0,78.12,2.0,basic,north,0
